id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,speechiness,loudness_db,instrumentalness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.05,-5.2,0.00
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.03,-14.8,0.72
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.06,-4.1,0.02
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.03,-16.2,0.85
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.07,-3.8,0.00
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.04,-18.5,0.91
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.05,-12.3,0.68
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.04,-7.6,0.45
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.03,-15.4,0.80
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.06,-6.8,0.01
11,Hype Boy,New Jeans,kpop,happy,0.77,120,0.82,0.86,0.04,0.04,-4.9,0.00
12,ANTIFRAGILE,LE SSERAFIM,kpop,intense,0.86,130,0.65,0.88,0.03,0.06,-3.7,0.00
13,Magnolia,Playboi Carti,trap,hype,0.72,130,0.56,0.79,0.06,0.28,-5.8,0.00
14,Up 2 Me,Yeat,rage rap,hype,0.88,149,0.43,0.76,0.04,0.82,-4.2,0.00
15,XO Tour Llif3,Lil Uzi Vert,emo trap,melancholic,0.74,160,0.33,0.75,0.08,0.35,-5.9,0.00
16,Boy's a liar,PinkPantheress,electronic pop,playful,0.69,131,0.77,0.85,0.06,0.06,-6.1,0.00
17,Digits,Young Thug,trap,relaxed,0.69,128,0.59,0.82,0.07,0.42,-5.3,0.00
18,Tití Me Preguntó,Bad Bunny,reggaeton,euphoric,0.89,176,0.87,0.92,0.05,0.19,-3.9,0.00
19,Blinding Lights,The Weeknd,synth-pop,intense,0.83,171,0.33,0.51,0.00,0.06,-5.9,0.00
20,Super Shy,New Jeans,kpop,happy,0.70,115,0.88,0.82,0.05,0.05,-5.8,0.00
21,Ditto,New Jeans,kpop,melancholic,0.58,114,0.62,0.76,0.18,0.04,-7.2,0.00
22,FEARLESS,LE SSERAFIM,kpop,intense,0.84,134,0.56,0.84,0.03,0.07,-4.2,0.00
23,EASY,LE SSERAFIM,kpop,hype,0.88,130,0.72,0.88,0.02,0.06,-3.8,0.00
24,Pink Venom,BLACKPINK,kpop,intense,0.82,124,0.49,0.78,0.04,0.11,-4.8,0.00
25,Spicy,aespa,kpop,hype,0.89,138,0.70,0.88,0.02,0.08,-3.9,0.00
26,After LIKE,IVE,kpop,happy,0.78,120,0.84,0.83,0.04,0.05,-5.1,0.00
27,Starboy,The Weeknd,synth-pop,moody,0.79,186,0.49,0.68,0.02,0.05,-7.2,0.00
28,Save Your Tears,The Weeknd,synth-pop,melancholic,0.69,118,0.67,0.65,0.01,0.06,-5.3,0.00
29,Can't Feel My Face,The Weeknd,pop,happy,0.77,107,0.59,0.72,0.06,0.06,-6.0,0.00
30,Dakiti,Bad Bunny,reggaeton,moody,0.78,98,0.56,0.82,0.04,0.06,-5.4,0.00
31,Me Porto Bonito,Bad Bunny,reggaeton,happy,0.90,95,0.82,0.90,0.03,0.07,-3.6,0.00
32,Shoota,Playboi Carti,trap,hype,0.75,143,0.53,0.76,0.05,0.22,-5.5,0.00
33,Sky,Playboi Carti,trap,hype,0.79,138,0.59,0.80,0.04,0.31,-5.2,0.00
34,SICKO MODE,Travis Scott,trap,hype,0.73,155,0.43,0.74,0.08,0.17,-5.3,0.00
35,Mask Off,Future,trap,moody,0.72,83,0.41,0.80,0.07,0.27,-6.1,0.00
36,Rich Flex,Drake,hip-hop,hype,0.68,147,0.58,0.79,0.04,0.32,-6.4,0.00
37,Lucid Dreams,Juice WRLD,emo trap,melancholic,0.52,84,0.22,0.51,0.07,0.11,-5.7,0.00
38,Just for me,PinkPantheress,electronic pop,playful,0.64,130,0.75,0.82,0.05,0.05,-7.1,0.00
39,Escapism.,RAYE,electronic pop,moody,0.65,140,0.43,0.80,0.04,0.08,-6.8,0.00
40,brat,Charli XCX,hyperpop,hype,0.91,135,0.68,0.88,0.01,0.06,-3.4,0.00
41,Good Days,SZA,r&b,chill,0.44,106,0.55,0.65,0.35,0.04,-9.8,0.00
42,Kill Bill,SZA,r&b,intense,0.61,89,0.42,0.72,0.14,0.05,-7.4,0.00
43,Snooze,SZA,r&b,chill,0.42,80,0.44,0.60,0.25,0.03,-9.4,0.00
44,Thinkin Bout You,Frank Ocean,r&b,melancholic,0.31,94,0.57,0.53,0.55,0.04,-11.8,0.00
45,The Less I Know the Better,Tame Impala,psychedelic pop,happy,0.72,116,0.69,0.72,0.07,0.03,-7.5,0.01
46,Do I Wanna Know?,Arctic Monkeys,indie rock,moody,0.56,85,0.17,0.59,0.03,0.03,-7.9,0.01
47,Mr. Brightside,The Killers,indie rock,intense,0.89,148,0.67,0.52,0.01,0.04,-4.5,0.00
48,Motion Sickness,Phoebe Bridgers,indie folk,melancholic,0.38,120,0.36,0.55,0.46,0.04,-10.2,0.00
49,Anti-Hero,Taylor Swift,pop,melancholic,0.64,97,0.48,0.64,0.19,0.07,-7.2,0.00
50,Levitating,Dua Lipa,pop,euphoric,0.82,103,0.92,0.77,0.02,0.06,-3.7,0.00
51,As It Was,Harry Styles,pop,happy,0.73,174,0.65,0.80,0.07,0.04,-6.0,0.00
52,drivers license,Olivia Rodrigo,pop,melancholic,0.43,84,0.34,0.60,0.35,0.05,-8.7,0.00
53,PROVENZA,Karol G,reggaeton,chill,0.68,106,0.85,0.82,0.04,0.05,-6.2,0.00
54,BICHOTA,Karol G,reggaeton,hype,0.82,100,0.62,0.86,0.04,0.08,-4.9,0.00
55,Mi Gente,J Balvin,reggaeton,happy,0.85,103,0.82,0.87,0.04,0.08,-5.0,0.00
56,Retrograde,James Blake,electronic soul,melancholic,0.29,84,0.18,0.43,0.52,0.03,-12.4,0.10
57,Mo Bamba,Sheck Wes,hip-hop,intense,0.85,98,0.56,0.74,0.05,0.32,-4.8,0.00
